Manufacturer,Model,Year
Abarth,500,2009
Abarth,595,1970
Abarth,1500 Biposto Bertone B.A.T. 1,1952
Alfa Romeo,155 2.5 V6 TI,1993
Alfa Romeo,4C,2014
Alfa Romeo,4C Gr.3,
Alfa Romeo,4C Gr.3 Road Car,
Alfa Romeo,4C Gr.4,
Alfa Romeo,8C 2900B Lungo Berlinetta,1937
Alfa Romeo,8C Competizione,2008
Alfa Romeo,Giulia TZ2 Carrozzata da Zagato CN.AR750106,1965
Alfa Romeo,MiTo,2009
Alpine,A110,1972
Alpine,A110 Premier Edition,2017
Alpine,A220,1968
Alpine,Vision Gran Turismo,
Alpine,Vision Gran Turismo 2017,2017
Alpine,Vision Gran Turismo Race Mode,
Amuse,NISMO 380RS SuperLeggera,2008
Amuse,S2000 GT1 Turbo,2005
Aston Martin,DB3S CN.1,1953
Aston Martin,DB5,1964
Aston Martin,DBR9 GT1 Race Car,2010
Aston Martin,DB11 Coupe,2016
Aston Martin,DP-100 Vision GT,
Aston Martin,One-77,2011
Aston Martin,V8 Vantage S,2015
Aston Martin,V8 Vantage Gr.4,
Aston Martin,V12 Vantage Gr.3,
Aston Martin,Vulcan,2015
Audi,e-tron Vision Gran Turismo,
Audi,R8 4.2 FSI V8 Quattro,2007
Audi,R8 LMS Audi Sport Team WRT,2015
Audi,R8 GT3 LMS Evo,2019
Audi,R18 TDI (Audi Sport Team Joest),2011
Audi,R18 e-tron,2016
Audi,Sport quattro S1,1987
Audi,TT Coupe 3.2 V6,2003
Audi,TTS Coupe,2014
Audi,TT Cup,2016
Audi,Vision Gran Turismo,
Autobianchi,A112 Abarth,1985
BAC,Mono,2011
BMW,3.0 CSL,1972
BMW,3.0 CSL,1973
BMW,i3,2015
BMW,M3,1989
BMW,M3 Sport Evolution,1989
BMW,M3 GT BMW Motorsport,2011
BMW,M3,2003
BMW,M3,2007
BMW,M4 Coupe,2014
BMW,M4 Gr.4,
BMW,M4 Safety Car,
BMW,M6 GT3 Endurance Model,2016
BMW,M6 GT3 Sprint Model,2016
BMW,McLaren F1 GTR Race Car,1997
BMW,Vision Gran Turismo,
BMW,Z4 GT3,2011
BMW,Z8,2001
Bugatti,Veyron 16.4,2013
Bugatti,Veyron Gr.4,
Bugatti,Vision Gran Turismo,
Bugatti,Vision Gran Turismo Gr.1,
Chaparral,2J,1970
Chaparral,2X Vision Gran Turismo,2014
Chevrolet,Camaro Z28,1969
Chevrolet,Camaro SS,2016
Chevrolet,Camaro ZL1 1LE,2018
Chevrolet,Corvette Stingray Concept,1959
Chevrolet,Corvette (C2) Sting Ray Sport Coupe,1963
Chevrolet,Corvette (C3) Stingray Convertible,1969
Chevrolet,Corvette (C3) Stingray L46 350,1969
Chevrolet,Corvette (C4) ZR-1,1989
Chevrolet,Corvette (C6) ZR1,2009
Chevrolet,Corvette (C7) Stingray,2014
Chevrolet,Corvette (C7) ZR1,2019*
Chevrolet,Corvette Gr.3 Race Car,
Chevrolet,Corvette Gr.3 Road Car,
Chevrolet,Corvette Gr.4 Race Car,
Chris Holstrom Concepts,1967 Chevy Nova,2013
Citroen,GT by Citroen,2010
Citroen,GT by Citroen Race Car Gr.3,
Citroen,GT by Citroen Race Car Gr.4,
Daihatsu,Copen,2002
Daihatsu,Copen RJ Vision Gran Turismo,2017
DeTomaso,Mangusta,1967
DeTomaso,Pantera,1971
DMC,Delorean DMC-12,2004
Dodge,Challenger R/T,1970
Dodge,Charger SRT Hellcat,
Dodge,Charger SRT Hellcat Safety Car,
Dodge,SRT Tomahawk GTS-R Vision Gran Turismo,
Dodge,SRT Tomahawk S Vision Gran Turismo,
Dodge,SRT Tomahawk Vision Gran Turismo Gr.1,
Dodge,SRT Tomahawk X Vision Gran Turismo,
Dodge,Super Bee,1970
Dodge,Viper Gr.4,
Dodge,Viper GTS,2002
Dodge,Viper SRT-10,2006
Dodge,Viper GTS,2013
Dodge,Viper SRT GT3-R,2015
DS,DS3 Racing,2015
Eckert,Mach Forty,2012
Ferrari,250 GT Berlinetta passo corto CN.2521,1961
Ferrari,250 GTO CN.3729GT,1962
Ferrari,308 GTB,1976
Ferrari,330 P4,1967
Ferrari,365 GTB/4,1971
Ferrari,458 Italia,2009
Ferrari,458 Gr.4,
Ferrari,458 Gr.3,
Ferrari,500 Mondial Pinin Farina Coupe,1954
Ferrari,512BB,1976
Ferrari,Dino 246GT,1971
Ferrari,Enzo Ferrari,2002
Ferrari,F40,1992
Ferrari,F430,2006
Ferrari,F50,1996
Ferrari,F8 Tributo,2020
Ferrari,F12berlinetta,2013
Ferrari,FXX K,2014
Ferrari,GTO,1984
Ferrari,LaFerrari,2013
Ferrari,Testarossa,1991
FIAT,500F,1968
FIAT,500 1.2 Lounge,2008
Ford,F-150 SVT Raptor,2011
Ford,Focus Gr.B Race Car,
Ford,Focus ST,2015
Ford,Focus RS,2018
Ford,GT40 Mk1,1966
Ford,Mark IV Race Car,1967
Ford,GT,2006
Ford,GT LM Race Car Spec II,
Ford,GT LM Spec II Test Car Gr.3,
Ford,GT,2017
Ford,GT LM GTE,2018
Ford,Mustang Boss 429,1969
Ford,Mustang Mach 1,1971
Ford,Mustang GT,2015
Ford,Mustang Gr.3 Race Car,
