Game/DLC, Type, Name, Location
Hitman, Main Mission, Guided Training, "ICA Facility, Classified"
Hitman, Main Mission, Freeform Training, "ICA Facility, Classified"
Hitman, Main Mission, The Final Test, "ICA Facility, Classified"
Hitman, Main Mission, The Showstopper, "Paris, France"
Hitman, Main Mission, World of Tomorrow, "Sapienza, Italy"
Hitman, Main Mission, A Gilded Cage, "Marrakesh, Morocco"
Hitman, Main Mission, Club 27, "Bangkok, Thailand"
Hitman, Main Mission, Freedom Fighters, "United States of America"
Hitman, Main Mission, Situs Inversus, "Hokkaido, Japan"
Hitman 2, Main Mission, Nightcall, "Hawke's Bay, New Zealand"
Hitman 2, Main Mission, The Finish Line, "Miami, United States of America"
Hitman 2, Main Mission, Three-Headed Serpent, "Santa Fortuna, Colombia"
Hitman 2, Main Mission, Chasing a Ghost, "Mumbai, India"
Hitman 2, Main Mission, Another Life, "Whittleton Creek, United States of America"
Hitman 2, Main Mission, The Ark Society, "Isle of Sgàil, North Atlantic"
Hitman 2, Main Mission, Golden Handshake, "New York, United States of America"
Hitman 2, Main Mission, The Last Resort, "Haven Island, Maldives"
Hitman 3, Main Mission, On Top of the World, "Dubai, United Arab Emirates"
Hitman 3, Main Mission, Death in the Family, "Dartmoor, England"
Hitman 3, Main Mission, Apex Predator, "Berlin, Germany"
Hitman 3, Main Mission, End of an Era, "Chongqing, China"
Hitman 3, Main Mission, The Farewell, "Mendoza, Argentina"
Hitman 3, Main Mission, Untouchable, "Carpathian Mountains, Romania"
Hiiman 3, Main Mission, Shadows in the Water, "Ambrose Island, Andaman Sea"
