Track,Car,Time of Day,Time Lapse,Cloud Cover,Precipitation,Finish Time,Sector 1,Sector 2,Sector 3,Date of Race,Time of Race
Asagiri Hills Racetrack 02,RUF CTR3 Clubsport,13:00,1,Clear,Dry,01:23.552,00:22.780,00:30.889,00:29.873,2015-03-02,22:15
Asagiri Hills Racetrack 03,RUF CTR3 Clubsport,13:00,1,Clear,Dry,01:17.177,00:22.943,00:24.438,00:29.796,2015-03-02,22:15
Asagiri Hills Racetrack 03,RUF CTR3 Clubsport,13:00,1,Clear,Dry,01:17.938,00:22.652,00:25.005,00:30.281,2015-03-02,21:58
Asagiri Hills Racetrack 03,RUF CTR3 Clubsport,13:00,1,Clear,Dry,01:17.916,00:23.502,00:24.493,00:29.921,2015-03-02,22:05
Asagiri Hills Racetrack 03,RUF CTR3 Clubsport,13:00,1,Clear,Dry,01:19.823,00:24.372,00:24.896,00:30.555,2015-03-02,22:00
Asagiri Hills Racetrack 03,RUF CTR3 Clubsport,13:00,1,Clear,Dry,01:20.391,00:22.943,00:25.039,00:32.409,2015-03-02,21:52
Asagiri Hills Racetrack 03,RUF CTR3 Clubsport,13:00,1,Clear,Dry,01:23.6,00:22.8,00:30.9,00:29.9,2015-03-02,21:49
Ashii 02 (Reverse),Caterham SP/300.R,13:00,1,Stormy,Dry,00:41.467,00:09.738,00:18.197,00:13.532,2017-04-03,19:02
Atlanterhavsvegen,Ferrari FXX K,14:00,1,Clear,Dry,01:34.064,00:33.065,00:25.169,00:35.830,2017-04-03,22:09
Autodromo Frontera 03,Ferrari 430 Scuderia,14:00,1,Clear,Dry,00:50.570,00:16.442,00:16.464,00:17.664,2015-05-10,17:45
Black Hills Race Circuit 03,Pagani Huayra,05:00,30,Cloudy,Random,01:48.727,00:33.847,00:42.109,00:32.771,2015-03-07,21:08
Black Hills Race Circuit 03,BMW M5 2013,09:00,15,Cloudy,Dry,01:49.024,00:35.826,00:37.883,00:35.315,2015-03-24,22:02
Black Hills Race Circuit 03,Pagani Huayra,05:00,30,Cloudy,Random,02:03.855,00:37.932,00:47.621,00:38.302,2015-03-07,21:03
Bryggen 01,Renault Clio RS,14:00,1,Clear,Dry,01:18.744,0:27.803,0:24.438,0:26.503,2016-11-23,07:52
Cayoosh Point,Ferrari 430 Scuderia,14:00,1,Clear,Dry,02:42.964,00:51.907,00:53.181,00:57.876,2015-05-13,18:27
Cayoosh Point (Reverse),Ferrari 430 Scuderia,14:00,1,Clear,Dry,02:48.022,00:57.385,00:56.660,00:53.977,2015-05-13,18:58
Fraser Valley,Savage Rivale GTR-S,14:00,1,Clear,Dry,00:59.4,00:20.1,00:19.3,00:19.9,2014-12-30,14:08
Fraser Valley,Mercedes-Benz CLA 45 AMG,11:00,1,Cloudy,Dry,01:00.808,00:21.443,00:18.869,00:20.496,2015-02-27,23:54
Fraser Valley,Savage Rivale GTR-S,14:00,1,Clear,Dry,01:00.7,00:21.1,00:19.6,00:20.0,2014-12-30,14:12
Fraser Valley,Volkswagen Golf GTI,14:00,1,Clear,Dry,01:02.2,00:21.5,00:20.0,00:20.8,2014-12-30,14:23
Fraser Valley,Audi A1 Quattro,14:00,1,Clear,Dry,01:04.7,00:23.1,00:20.5,00:21.1,2014-12-30,14:16
Fraser Valley,Audi TT RS Coupe Plus,14:00,1,Clear,Dry,01:05.1,00:22.4,00:20.7,00:21.9,2014-12-30,13:58
Fraser Valley,Audi TT RS Coupe Plus,14:00,1,Clear,Dry,01:05.1,00:22.4,00:20.1,00:22.7,2014-12-30,14:03
Fraser Valley,Volkswagen Golf GTI,14:00,1,Clear,Dry,01:11.6,00:24.7,00:24.0,00:22.9,2014-12-27,11:35
