Date,Weapon,Total Kills,Pilot Kills,Titan Kills,AI Forces Kills,Time Used,Shots Hit,Headshots,Critical Hits
13/01/2020 08:22,Charge Rifle,32,4,13,12,31m,232,N/A,57
13/01/2020 08:22,EPG,120,40,4,76,38m,156,5,3
13/01/2020 08:22,MGL,9,2,4,3,9m,171,N/A,N/A
13/01/2020 08:22,P2016,0,0,0,0,0m,1,0,0
13/01/2020 08:22,R-201,135,34,0,91,45m,478,18,7
13/01/2020 08:22,RE-45 Auto,0,0,0,0,0m,6,0,2
13/01/2020 08:22,Spitfire,238,68,0,159,53m,704,44,12
19/01/2020 19:30,Alternator,39,18,0,21,17m,110,7,0
19/01/2020 19:30,Charge Rifle,41,7,15,16,41m,320,N/A,68
19/01/2020 19:30,Double Take,8,5,0,3,2m,13,2,0
19/01/2020 19:30,EPG,175,50,4,119,55m,214,13,7
19/01/2020 19:30,MGL,12,2,6,3,17m,307,N/A,N/A
19/01/2020 19:30,Mastiff,38,6,0,28,8m,67,5,0
19/01/2020 19:30,P2016,1,1,0,0,0m,6,1,0
19/01/2020 19:30,R-201,156,44,0,102,54m,574,26,7
19/01/2020 19:30,RE-45 Auto,3,2,0,1,1m,21,0,2
19/01/2020 19:30,Spitfire,242,71,0,160,55m,715,44,12
20/01/2020 00:20,Alternator,91,33,0,58,36m,239,14,0
20/01/2020 00:20,Charge Rifle,51,7,18,23,48m,375,N/A,74
20/01/2020 00:20,Double Take,9,5,0,4,8m,18,2,0
20/01/2020 00:20,EPG,176,51,4,119,56m,216,13,7
20/01/2020 00:20,MGL,16,2,6,7,19m,330,N/A,N/A
20/01/2020 00:20,Mastiff,42,7,0,30,12m,81,5,0
20/01/2020 00:20,P2016,3,1,0,2,2m,10,1,0
20/01/2020 00:20,R-201,185,52,0,117,1h 3m,683,27,7
20/01/2020 00:20,RE-45 Auto,5,3,0,1,2m,35,1,2
20/01/2020 00:20,Spitfire,242,71,0,160,55m,715,44,12
21/01/2020 23:56,Alternator,108,38,0,70,43m,288,17,1
21/01/2020 23:56,Charge Rifle,64,7,25,27,58m,451,N/A,88
21/01/2020 23:56,Devotion,8,1,0,6,1m,18,0,0
21/01/2020 23:56,Double Take,9,5,0,4,8m,18,2,0
21/01/2020 23:56,EPG,176,51,4,119,56m,216,13,7
21/01/2020 23:56,L-Star,2,0,0,2,1m,10,0,0
21/01/2020 23:56,MGL,16,2,6,7,19m,365,N/A,N/A
21/01/2020 23:56,Mastiff,42,7,0,30,12m,81,5,0
21/01/2020 23:56,P2016,17,2,0,14,5m,38,2,0
21/01/2020 23:56,R-101,22,2,0,20,10m,54,6,0
21/01/2020 23:56,R-201,206,56,0,134,1h 10m,756,30,7
21/01/2020 23:56,RE-45 Auto,5,3,0,1,2m,35,1,2
21/01/2020 23:56,Spitfire,242,71,0,160,55m,715,44,12
28/01/2020 22:58,Alternator,108,38,0,70,43m,288,17,1
28/01/2020 22:58,Charge Rifle,87,10,32,40,1h 19m,599,N/A,114
28/01/2020 22:58,Devotion,8,1,0,6,1m,18,0,0
28/01/2020 22:58,Double Take,15,7,0,6,16m,38,2,0
28/01/2020 22:58,EPG,200,55,5,138,1h 8m,256,15,10
